@relation posture

@attribute tweet String
@attribute class {Anti-Roseanne,Pro-Roseanne,UncNeut}

@data
"Roseanne Barr Starts Storm With Racist Twitter Post About Ex-Obama Adviser Ms. Barr cited The Planet of the Apes... https://t.co/a8hJjNiBbz",UncNeut
" Richie59FIFTY If Roseanne was willing to make the statements she did on social media, can you imagine what the bit... https://t.co/Lboy8koQZe",Anti-Roseanne
"Roseanne is awesome! Her Show canceled over a tweet?!!! Is this what its coming too? Insanity/// we are entitled t... https://t.co/wYvjrMFfyK",Pro-Roseanne
" AmandaBeyerrr Same...Like home watching new Roseanne episodes... I mean   ... too soon?",UncNeut
"AHAHAHAHA NOT FEELING SORRY FOR ROSEANNE OR THAT WACK ASS SHOW OR THAT WACK ASS CAST.",Anti-Roseanne
"Roseanne Barr apologizes for racially charged 'bad joke' about Valerie Jarrett, says she's leaving Twitter https://t.co/NMws2e7suV",UncNeut
"ABC drops Roseanne show after racist tweet https://t.co/jRxoBTT645",UncNeut
" therealroseanne See ya....good riddance... you, your bigotry, your racism, your reboot show... America has no plac... https://t.co/9atPT12vLm",Anti-Roseanne
" therealroseanne https://t.co/sH0m3gUEAy",UncNeut
"ABC CANCELS ROSEANNE'. (Fox execs frantically rearrange fall schedule)",UncNeut
"ABC",UncNeut
" DrShayPhD therealroseanne I don't think it's ok for any of them honestly. For the same reason I think Wolf's dist... https://t.co/KGvlehZJ8Y",UncNeut
"Out of Roseanne, Katie Hopkins and Tommy Robinson, who would you shag marry kill?",UncNeut
"I totally disagree with Roseanne's tweet. She's free to say what she wants...just like all the liberals who do the... https://t.co/uNXfhTFuqI",Pro-Roseanne
"C'mon ABCNetwork! Don't cancel therealroseanne ppl make mistakes. RoseanneOnABC =great positive msg! Rash decision. Done watching ABC",Pro-Roseanne
" RelaxedMomma KayaJones therealroseanne I agree",UncNeut
"I'm not even remotely surprised by the whole therealroseanne situation. You give a racist a platform and surprise... https://t.co/9VsyHIyb5p",Anti-Roseanne
" RepStevenSmith therealroseanne But it is Trump who was in Epstein's little black book and who flew with him on th... https://t.co/9NXQsn31IX",UncNeut
"Roseanne Barr is such a piece of human trash",Anti-Roseanne
"ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet https://t.co/6T2SsyTfDo https://t.co/CTDjesbhG5",UncNeut
"Lmmfao at the crybaby leftists who are mad because therealroseanne gave the left a dose of what they do everyday w... https://t.co/WMDw7iv9TL",Pro-Roseanne
" CNNISISFAKENEWS therealroseanne LMAO!!!",UncNeut
" therealroseanne should sue ABC for violating her first amendment rights and cancelling a show based on a comment!... https://t.co/F6md2dOu4u",Pro-Roseanne
" irishrygirl therealroseanne What gets me is how since she's a comedian she thinks she cld get by wth it's a joke... https://t.co/a6vEwLhMY0",Anti-Roseanne
" AmandaNHardwic1 therealroseanne So it's ok to throw racial slurs around huh?",Anti-Roseanne
"Roseanne",UncNeut
"THEMICK",UncNeut
"Well, I no longer have a reason to watch ABCNetwork since they've chosen to cancel RoseanneOnABC . I didn't watc... https://t.co/Bo0V74NYXX",Pro-Roseanne
"ABC",UncNeut
" LosEstevan mbmcmanamon therealroseanne ChelseaClinton OpenSociety Donald will find one for her.",UncNeut
" ambertamblyn Give your dad a talk show in Roseanne's time slot.",UncNeut
" NC_Sasquatch FLOTUS PressSec SenatorTimScott therealroseanne ABCNetwork Yes",UncNeut
" andygh26 Milliron681 soonerrick debralynnsmith3 therealroseanne Now THAT'S funny.",UncNeut
"ABC Entertainment cancels Roseanne Barr's show https://t.co/xcEsdKdUMY",UncNeut
" therealroseanne Way to go on your ignorant tweet. Now you and your whole cast are out of work!",Anti-Roseanne
" JTMYVA therealroseanne Dickhead",UncNeut
"Roseanne",UncNeut
"ABC drops Roseanne show after racist tweet https://t.co/stXPddmdJh",UncNeut
"Roseanne",UncNeut
"Congrats to ABC! I cherish my right of free speech. But there are still lines, Roseanne crossed one. https://t.co/ATQZ9QDJRs",Anti-Roseanne
"ABC cancels Roseanne following star's controversial comments https://t.co/IXEOC9diI7",UncNeut
"Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says https://t.co/qvqrbyJGv8",UncNeut
"Everyone is late to the game! Roseanne Barr was never funny. Her biggest offense to society was labeling herself a... https://t.co/88DGhrxrL3",Anti-Roseanne
" JesseKellyDC Tim Allen is trending a bit. A lot of tweets going after him. Seems like the idea is that this Rosean... https://t.co/s9HMLRGXsF",UncNeut
"ABC pulls the plug on 'Roseanne.' https://t.co/dRS6HXMvmo",UncNeut
" andygh26 DEERAILOKC Milliron681 soonerrick debralynnsmith3 therealroseanne posting naked picture of FLOTUS is ok you idiot",UncNeut
"Roseanne",UncNeut
"Well, Roseanne went and ruined everything. I have no sympathy for her, but I feel sorry for the rest of the cast on... https://t.co/uUBobJ7v42",Anti-Roseanne
"Now I'm pissed off Roseanne is a great show. You liberals are hippocreat s.",Pro-Roseanne
" kenolin1 therealroseanne So did my child and every vaccine injured child harmed due to the negligence and callous... https://t.co/73wjgyBKEd",UncNeut
"BREAKING",UncNeut
" TheTweetOfGod realDonaldTrump therealroseanne Well that will last me a day...",UncNeut
" therealroseanne Watching two idiotic parties aruging is so funny! https://t.co/RVtKmtlXm7",UncNeut
" ways_there therealroseanne Exactly!",UncNeut
"ABC pulls the plug on 'Roseanne.' https://t.co/WVHj5Izxwi",UncNeut
" pantshalfoff thehill That's a terrible idea. Roseanne is the show.",UncNeut
"morandiniblog: URGENT - ABC annonce  l'instant qu'elle supprime la s rie  succ s Roseanne, apr s une s rie de twe... https://t.co/yq5loDvRqW",UncNeut
"punbelievable",UncNeut
"keep it movin https://t.co/jKhbjxIbGa",UncNeut
"Now therealroseanne can bake more Nazi cookies while dressing up like a Nazi",Anti-Roseanne
"ABC",UncNeut
" 1charlieprince puffballsgirl therealroseanne",UncNeut
" overthewall1630 soonerrick BethB1213 therealroseanne ABCNetwork Liberals don't watch Roseanne, boycott won't work.",UncNeut
" FoxNews danapeRINO Has turned into CNN mentioned North Korea peace talks once, and has had now within 10 minutes,... https://t.co/3n40ftwr8W",UncNeut
" therealroseanne Don't leave twitter! We need blunt conservative voices like you to shout from the rooftops what we... https://t.co/OX01CIbQgC",Pro-Roseanne
" FoxNews JBaker31826004 KevinCate dailybriefing FoxNews FOXTV Pickup therealsoeannes show! Don't let tyranny... https://t.co/zEnXiODkoe",Pro-Roseanne
"BAAAAAM!!!!!, thats right!! Foul Nazi Beeeeeyauch!!---'Roseanne' Scrapped: ABC Just Canceled TV's Most-Watched Show https://t.co/ONHeRgxyLa",Anti-Roseanne
"Roseanne",UncNeut
"Lost in the conversation today about therealroseanne , is Twitter TwitterSafety itself. If an average Joe/Jane... https://t.co/NPjdZM8LyS",UncNeut
"Roseanne' Canceled at ABC - Variety https://t.co/QwqPRIONJG",UncNeut
" therealroseanne https://t.co/zLpUBgzwJm",UncNeut
"I'm sure Roseanne's co-stars are really excited that she shared her thoughts...",UncNeut
" stormishere18 MarkSZaidEsq T_S_P_O_O_K_Y therealroseanne Yeah, T_S_P_O_O_K_Y isn't just smart and patriotic, b... https://t.co/iaVH4HulI3",UncNeut
"Here's how they can save Roseanne https://t.co/dyEmgk9O8n",UncNeut
"TheMiddle",UncNeut
" lynn_driessen I actually omitted her, Lacy Gorensen and Michael Fishman because I was not as sure they could just... https://t.co/TSN2PiN243",UncNeut
"ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/nvPuOPmBlN ABC cancels 'Roseanne' Roseanne Barr apol... https://t.co/9pC0Sfop14",UncNeut
" CillizzaCNN KeithOlbermann everyday on folks he disagrees with .... yet CillizzaCNN and ABC thinks only Rosean... https://t.co/h8K8ECAxZI",UncNeut
"ABC cancels 'Roseanne' after TV star tweets racial slur https://t.co/twSpOHXtfb https://t.co/hUZhFaTgDj",UncNeut
"FOX is gonna pick up Roseanne lol",UncNeut
" LadyBabs07 therealroseanne ABC https://t.co/7Zw1Yj8QEL",UncNeut
". therealroseanne https://t.co/RxqGMqqbbS",UncNeut
" therealroseanne thought it was funny...guess all comedians need to held to the same standard...but they won't be b... https://t.co/8eGKokUBdt",UncNeut
"Roseanne",UncNeut
"y'all thought a fat bitch named Roseanne wouldn't be racist?",Anti-Roseanne
"RoseanneCancelled",UncNeut
"Roseanne",UncNeut
"Roseanne https://t.co/1i7AixarZB",UncNeut
" V4V1ndetta ACNickel intheMatrixxx therealroseanne ChelseaClinton POTUS I have already done so...... https://t.co/U1GT8052j3",UncNeut
"Roseanne has been cancelled!!! Thank god!",Anti-Roseanne
" therealroseanne",UncNeut
"Roseanne",UncNeut
" therealroseanne I STILL LOVE YOU! GONNA MISS YOU, BUT I'LL WAIT ANOTHER 30!",Pro-Roseanne
" therealroseanne Goodbye you racist bitch!!",Anti-Roseanne
" filmystic therealroseanne Look up the tv show Valerie. After failed contract renegotiations, they fired the titul... https://t.co/UIJpxREqvG",UncNeut
" BubbaLeroy69 Donnam8470Donna JackPosobiec therealroseanne Yeah put her in the ape movie",UncNeut
"Don't worry, Roseanne, there's a place on Trump's cabinet for you... https://t.co/q4ZWBa4WEg",Anti-Roseanne
"Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says https://t.co/bV3KGdyZqF redz041 sharpetax",UncNeut
" null ABC cancels 'Roseanne' after TV star tweets racial slur LOS ANGELES (Reuters) -  https://t.co/MCu5WqTL9b",UncNeut
"Noticia",UncNeut
"ABC Cancels 'Roseanne' After Star's Racist Tweet via NYTimes https://t.co/ROATc24Hgj",UncNeut
" BlakeCarson7 KayaJones therealroseanne I wonder if she gave kathygriffin the 'we're all just humans and make mi... https://t.co/ITd6hM1rqi",UncNeut
"Indiana105",UncNeut
" therealroseanne ABC cancels 'Roseanne' following star's racist comments - Los Angeles Timeshttps://apple.news/A-X4eCyHQSp-1KgK8pwAXow",UncNeut
" baskounet Une s rie 'Roseanne' , vieille de 30 piges d j  qui est revenue, cheh !",UncNeut
"Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says https://t.co/dXZMNZ7dNT",UncNeut
"Wegen rassistischem Tweet: 'Roseanne' wird abgesetzt https://t.co/8hMAZQAJRk https://t.co/ECvWYu2puo",UncNeut
" Jordan_Sather_ therealroseanne She is a true consciousness HERO! A huge force for mass consciousness awakening! S... https://t.co/undk8q72OR",Pro-Roseanne
"Roseanne  cancelada pela ABC ap s coment rios racistas de Roseanne Barr https://t.co/KssRVZ9D4X https://t.co/KJj79IHV4v",UncNeut
"A new article found and posted on https://t.co/3g3Cf5s7jG, ABC cancels 'Roseanne' after star's racist tweet sparks outcry",UncNeut
" ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne They're very fragile clay be-careful not to hur... https://t.co/lfEWg8xFoL",UncNeut
" BruceBartlett Fox TV is not Fox News, and with the impending sale of that side of Fox to Disney, I wouldn't bet on a Roseanne pickup there.",UncNeut
"Thanks to therealroseanne I just became a ValerieJarrett follower! :)",Anti-Roseanne
"Roseanne",UncNeut
"RT BrianKSNT : ABC has cancelled its hit reboot of 'Roseanne' following her racist tweet about former Obama adviser... https://t.co/Nd2c0AU7t6",UncNeut
" TheGoodGodAbove therealroseanne https://t.co/lLt3ew0Ws6",UncNeut
" GehennaHelena ABC RoseanneOnABC therealroseanne ValerieJarrett LMAO! This is actually funny. I have a great ba... https://t.co/Vioo93qD5b",UncNeut
"TrumpSupporter",UncNeut
" jeannemb1963 MichaelSkolnik ABC Disney therealroseanne Most the shot on Disney isn't normal anymore! Some twisted bullshit!",UncNeut
" TheRitaMoreno therealroseanne she can take some lessons on how to be a 'classy' truth-teller from you. But then a... https://t.co/mNnDQt13gC",UncNeut
" KEEMSTAR therealroseanne She's racist.",Anti-Roseanne
" therealroseanne This isn't an apology. About her looks? So, you actually think she looks like an ape? What a vile,... https://t.co/kfgeWNJylW",Anti-Roseanne
"Here's a long-distance dedication going out to Roseanne Barr! https://t.co/KArLTcWv3z",UncNeut
" therealroseanne Ok you made a mistake but you have a lot of followers who like your attitude... I for one do. Las... https://t.co/LcN8435vTm",Pro-Roseanne
"Roseanne Barr quits Twitter again after comparing former Obama adviser to an ape in racist rant - The Independent https://t.co/FQ4eNiGj7F",UncNeut
" EfCovfefe therealroseanne Lazy ass people. Do your research. She is not. Have some life goals for gods sake.",UncNeut
" GardenGuy82 Amandam2941Lynn overthewall1630 soonerrick BethB1213 therealroseanne ABCNetwork https://t.co/2acHAIl6gS",UncNeut
"Replacing Roseanne with me, a 24 year-old trans woman with IBS, would be pretty revolutionary ABCNetwork! Just saying!",UncNeut
" therealroseanne ChelseaClinton OpenSociety Were you aware he was 14 in 1945?",UncNeut
" starshine731 MichaelSkolnik glenda_pollock ABC Disney therealroseanne Sarah Gilbert did come out and bash Ros... https://t.co/OTBNCbHsAv",UncNeut
" lindsayyceckert Roseanne should have to pay them since it's her fault",Anti-Roseanne
"I AM CACKLING https://t.co/AkLTaZHzYY",UncNeut
" ABCNetwork you just made a bad move with therealroseanne and the 2nd season! Hypocrites!",Pro-Roseanne
" KayaJones therealroseanne Is ABC that delicate? Roseanne spoke the truth. Jarrett is Muslim. Her immediate family... https://t.co/6ofsoJ0T54",Pro-Roseanne
"After Racist Tweet by Roseanne Barr, ABC Cancels Her Hit Show https://t.co/CvtoqhaFqj",UncNeut
"NeverLikedHer",Anti-Roseanne
"personal",UncNeut
" CillizzaCNN What was Roseanne doing ON you this morning?",UncNeut
"WTF https://t.co/o7yHepugmg",UncNeut
" deemxreckless Could've been replaced. Those die hard Roseanne fans weren't going to stop watching. If anything she... https://t.co/bM9OVjrRFZ",UncNeut
" BrookeEslick RoseanneOnABC ABCNetwork THEsaragilbert Yep. My mom's suggestion when I texted her about it was, ... https://t.co/tda747Rl9A",UncNeut
"BreakingNews",UncNeut
"ABC cancela la serie 'Roseanne' tras un comentario racista de su protagonista https://t.co/AIbuBbcE6q https://t.co/X1y5XStCTR",UncNeut
" muevegirljackie therealroseanne I don't think I supported anyone in my response. Check that for me and let me kn... https://t.co/u9ZqNRhyRo",UncNeut
" atBtru2U therealroseanne POTUS Who took the pics on board AF1 on route to Asia then? It's not Pence.",UncNeut
" jefferyclark FoxNews JessicaTarlov therealroseanne It's not simply about a foul joke. Kathy Griffin was also fi... https://t.co/aq375ptR0W",UncNeut
" KayaJones ABCNetwork jimmykimmel FLOTUS therealroseanne LeahR77 ABC https://t.co/jv2EoJ7r4S",UncNeut
" tonystory2004 DawnaldT SecOfState70 jimmykimmel JimmyKimmelLive ABC therealroseanne WaltDisneyCo Well it's... https://t.co/0iBfBVPOdY",UncNeut
" politico therealroseanne just cost an entire cast and crew their jobs. Every grip, gaffer, PA, writer, assistant... https://t.co/zdOGoXieCU",Anti-Roseanne
"ABC cancels 'Roseanne' after star's racist Twitter rant - CNN Money https://t.co/qKcBSRluLT",UncNeut
"so roseanne's gone when are we getting that ableist misogynist shitfire big bang theory cancelled",UncNeut
" therealroseanne Roseanne, you're tougher than that. I've seen a lot worse and you would be greatly missed.",Pro-Roseanne
" stacebulls I feel bad for the other cast and crew out of a job. That blows. I hope they land somewhere else soon.... https://t.co/W79XIGl1wM",UncNeut
" therealroseanne DonaldJTrumpJr ChelseaClinton OpenSociety Junior is so ignorant about everything (like Daddy) t... https://t.co/PIl91yrJQx",UncNeut
" therealroseanne - your true colors came shining through. You should be ashamed. Write a personal letter, better ye... https://t.co/iiaJ8C0Fuq",Anti-Roseanne
" therealroseanne your Tweet was quoted in an article by business https://t.co/3sxDKYUwFz",UncNeut
" therealroseanne Why is it ugly trailer park cows like Roseanne throwing shade at pretty, intelligent women of colo... https://t.co/PCjOLQebaz",UncNeut
"Roseanne",UncNeut
"AlexInc",UncNeut
"LastManStanding",UncNeut
" ChelseaClinton therealroseanne OpenSociety Web Hubbell ring a bell?",UncNeut
"Another note here is yea. Maybe next time keep it to yourself and don't say anything at all. I mean sometimes you g... https://t.co/K9YP0uS3PE",UncNeut
" 1Jedi_Rey NatCookResists TheSWPrincess therealroseanne JediMasterDre MaraJade_2017 Havok_2O18... https://t.co/YqAiU5qPDK",UncNeut
"That Was Fast! 'Roseanne' Canceled By ABC After Racist Tweet, Won't Return for Season 11 https://t.co/6sEM8QZYo4 https://t.co/W9X2EXc8rv",UncNeut
"So if ABC is owned by Disney and they cancelled Roseanne and now Fox decides to try picking Roseanne up but Disney... https://t.co/Z0ddUVeebn",UncNeut
"Roseanne' cancelled after Barr makes 'bad joke' about Obama aide https://t.co/w92j5p45G3 https://t.co/K5RFO04mzg",UncNeut
"Roseanne",UncNeut
" REALtrumpbureau Jess_Luvs_Trump DonnaWR8 USAHotLips ABC therealroseanne ArizonaKayte carrieksada_... https://t.co/wdQ7e9xKTP",UncNeut
" therealroseanne Nice to see you go. Your racism made others lose their jobs.",Anti-Roseanne
"Roseanne canceled by ABC after Roseanne Barr tweets racist remark https://t.co/cGnOfp8NV4 https://t.co/qDkc955lPw",UncNeut
" MarkDice therealroseanne Lol",UncNeut
" doodlebug4845 dougherty462 therealroseanne Har har har good one nratv oh man",UncNeut
" liesandperfidy S11 prologue: actually it was roseanne who died and dan was imagining the whole thing after all. S1... https://t.co/LI22j3i4w9",UncNeut
"Ok. I need to go be productive. Just one more tweet and I'm putting the phone down. therealroseanne... https://t.co/gtipmlnqHp",UncNeut
"ABC cancels 'Roseanne' after star's racist Twitter rant - CNNMoney https://t.co/ddbAufnITa",UncNeut
" therealroseanne Don't worry just like fox pick up Tim Allen's show they'll pick up your show again. The idiot exec... https://t.co/Pa6c0yMOE7",UncNeut
"potustrump",UncNeut
" therealroseanne Yes best to leave this beast called Twitter",UncNeut
" FrauWolf DubeAteo https://t.co/hlwAvpDwmI Nix entschuldigt das hier.",UncNeut
" KSnow927 NBCNews I'm sorry....who are we speakng of? So, Roseanne should get a free pass for being a bigot? That... https://t.co/R8tI9StKh0",Anti-Roseanne
"ABC cancels 'Roseanne,' saying comedian's tweets were 'abhorrent, repugnant and inconsistent with our values'... https://t.co/aX0EI8QZgh",UncNeut
"Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments, Network President Says https://t.co/ffJrE7tioU",UncNeut
" therealroseanne Roseanne America still loves you",Pro-Roseanne
" therealroseanne You should not quit roseann, the liberal media is insulting and lying about potus, his family, and... https://t.co/gTsKJPSZI9",Pro-Roseanne
" luchadora41 TommyLasV PatriciaforUSA LaydiHD eavesdropann sherrysue66 POTUS VP realDonaldTrump FoxNews Co... https://t.co/wlkipDOJBF",UncNeut
"I'm old enough to remember when therealroseanne appeared on the ballot for president under the peaceandfreedom pa... https://t.co/4icjCKXZyx",UncNeut
" therealroseanne Then THEY win. If you leave. THEY win. If they can do this to YOU, Roseanne, just imagine what... https://t.co/kZB28IDrrU",Pro-Roseanne
"A lot of these Russian bots really overestimate how important Roseanne is in the grand scheme of things.",UncNeut
" politico The rest of the cast should sue her for loss of income! What a sorry piece of shit! therealroseanne",Anti-Roseanne
"Bye bye Roseanne !!!",Anti-Roseanne
" NessiCrocker OldCrochity BenDror85 chbstone2 1Romans58 therealroseanne POTUS How can you justify levelling b... https://t.co/JC53dt2Pa3",UncNeut
" PatBlanchfield Now the truth will come out, Roseanne was using her Disney money to fund FDRLST",UncNeut
"Welp ...see previous article about how Starbucks' diversity training ain't really gonna do one thing ... Racism/whi... https://t.co/9yyCVj7UIS",UncNeut
"Roseanne",UncNeut
" denvernight Roseanne was probably just frustrated by what she sees happening in Sweden, London, Germany heck what... https://t.co/DkbTX7W64x",UncNeut
" thecjpearson therealroseanne HillaryClinton Or when MichelleObama said people don't trust the Republican Party... https://t.co/RIwP6Oc9FX",UncNeut
"Even the saxophone player sounded as if he was tired of Roseanne.... go back and listen to the sitcom's intro song",UncNeut
"Hey sweet gurl therealroseanne one day u gonna learn ya lesson Roseanne. https://t.co/eYvm4R2vPY",Anti-Roseanne
"Nice try but for Roseanne to accurately portray the home life of MAGA people the meltdown would have to end with he... https://t.co/gJgoy8bJeU",UncNeut
" ConservaMomUSA RWSalt therealroseanne HillaryClinton ABC BretBaier please explain if Hilly can say it well",UncNeut
" FoxNews therealroseanne You are just a deplorable woman. What a horrible example to your family. You are just too... https://t.co/il3Uyt3yb5",Anti-Roseanne
" SickOfTheSwamp therealroseanne Bs u will be watching the bachelor trash as soon as its on",UncNeut
" therealroseanne It's OK, in the end you all show your true colors. Here's hoping you spend the rest of your career... https://t.co/bAsj9ILJzH",Anti-Roseanne
"punishment",UncNeut
"I remember saying on the air that I wasn't here for the Roseanne reboot because she was all for Trump- hilarious to... https://t.co/mmpZVFLFH4",UncNeut
" therealroseanne https://t.co/2TrhKCNob0",UncNeut
"ROSEANNE",UncNeut
"Roseanne's officially qualified for a position in the Trump administration.",Anti-Roseanne
" PeterArnottGlas Roseanne was the breakout for ABC in ratings this season.",UncNeut
"Roseanne Canceled By ABC After Star's Racist Tweet | CBR https://t.co/n76qOS0T2o",UncNeut
